State,Year,ENPP
Andaman And Nicobar Islands,2000,
Andaman And Nicobar Islands,2001,
Andaman And Nicobar Islands,2002,
Andaman And Nicobar Islands,2003,
Andaman And Nicobar Islands,2004,
Andaman And Nicobar Islands,2005,
Andaman And Nicobar Islands,2006,
Andaman And Nicobar Islands,2007,
Andaman And Nicobar Islands,2008,
Andaman And Nicobar Islands,2009,
Andaman And Nicobar Islands,2010,
Andaman And Nicobar Islands,2011,
Andaman And Nicobar Islands,2012,
Andaman And Nicobar Islands,2013,
Andaman And Nicobar Islands,2014,
Andaman And Nicobar Islands,2015,
Andaman And Nicobar Islands,2016,
Andaman And Nicobar Islands,2017,
Andaman And Nicobar Islands,2018,
Chandigarh,2000,
Chandigarh,2001,
Chandigarh,2002,
Chandigarh,2003,
Chandigarh,2004,
Chandigarh,2005,
Chandigarh,2006,
Chandigarh,2007,
Chandigarh,2008,
Chandigarh,2009,
Chandigarh,2010,
Chandigarh,2011,
Chandigarh,2012,
Chandigarh,2013,
Chandigarh,2014,
Chandigarh,2015,
Chandigarh,2016,
Chandigarh,2017,
Chandigarh,2018,
The Dadra And Nagar Haveli And Daman And Diu,2000,
The Dadra And Nagar Haveli And Daman And Diu,2001,
The Dadra And Nagar Haveli And Daman And Diu,2002,
The Dadra And Nagar Haveli And Daman And Diu,2003,
The Dadra And Nagar Haveli And Daman And Diu,2004,
The Dadra And Nagar Haveli And Daman And Diu,2005,
The Dadra And Nagar Haveli And Daman And Diu,2006,
The Dadra And Nagar Haveli And Daman And Diu,2007,
The Dadra And Nagar Haveli And Daman And Diu,2008,
The Dadra And Nagar Haveli And Daman And Diu,2009,
The Dadra And Nagar Haveli And Daman And Diu,2010,
The Dadra And Nagar Haveli And Daman And Diu,2011,
The Dadra And Nagar Haveli And Daman And Diu,2012,
The Dadra And Nagar Haveli And Daman And Diu,2013,
The Dadra And Nagar Haveli And Daman And Diu,2014,
The Dadra And Nagar Haveli And Daman And Diu,2015,
The Dadra And Nagar Haveli And Daman And Diu,2016,
The Dadra And Nagar Haveli And Daman And Diu,2017,
The Dadra And Nagar Haveli And Daman And Diu,2018,
Daman and Diu,2000,
Daman and Diu,2001,
Daman and Diu,2002,
Daman and Diu,2003,
Daman and Diu,2004,
Daman and Diu,2005,
Daman and Diu,2006,
Daman and Diu,2007,
Daman and Diu,2008,
Daman and Diu,2009,
Daman and Diu,2010,
Daman and Diu,2011,
Daman and Diu,2012,
Daman and Diu,2013,
Daman and Diu,2014,
Daman and Diu,2015,
Daman and Diu,2016,
Daman and Diu,2017,
Daman and Diu,2018,
