WinMargins,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Andaman And Nicobar Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,30.27,30.27,30.27,30.27,46.93,46.93,46.93,46.93,46.93,21.76,21.76,21.76,21.76,21.76,15.98,15.98,15.98,15.98,15.98
Arunachal Pradesh,81.67,81.67,81.67,81.67,41.67,41.67,41.67,41.67,41.67,61.67,61.67,61.67,61.67,61.67,51.67,51.67,51.67,51.67,51.67
Assam,20.49,40.47,40.47,40.47,40.47,40.47,23.01,23.01,23.01,23.01,23.01,47.61,47.61,47.61,47.61,47.61,26.98,26.98,26.98
Bihar,17.59,17.59,17.59,17.59,17.59,13.58,13.58,13.58,13.58,13.58,9.87,9.87,9.87,9.87,9.87,3.7,3.7,3.7,3.7
Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chhattisgarh,NA,NA,NA,14.44,14.44,14.44,14.44,14.44,13.33,13.33,13.33,13.33,13.33,11.11,11.11,11.11,11.11,11.11,58.88
The Dadra And Nagar Haveli And Daman And Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,52.85,52.85,52.85,38.57,38.57,38.57,38.57,38.57,28.57,28.57,28.57,28.57,28.57,4.28,4.28,4.28,4.28,4.28,91.42
Goa,27.5,27.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,30,30,30,30,30,10,10
Gujarat,35.16,35.16,41.75,41.75,41.75,41.75,41.75,31.86,31.86,31.86,31.86,31.86,29.67,29.67,29.67,29.67,29.67,12.08,12.08
Haryana,28.88,28.88,28.88,28.88,28.88,64.44,64.44,64.44,64.44,64.44,10,10,10,10,31.11,31.11,31.11,31.11,31.11
Himachal Pradesh,4.5,4.5,4.5,39.7,39.7,39.7,39.7,26.47,26.47,26.47,26.47,26.47,14.7,14.7,14.7,14.7,14.7,33.82,33.82
Jammu And Kashmir,56.32,56.32,9.19,9.19,9.19,9.19,9.19,9.19,8.04,8.04,8.04,8.04,8.04,8.04,3.44,3.44,3.44,3.44,3.44
Jharkhand,NA,NA,NA,NA,NA,16.04,16.04,16.04,16.04,5,5,5,5,5,22.22,22.22,22.22,22.22,22.22
Karnataka,39.28,39.28,39.28,39.28,6.25,6.25,6.25,6.25,13.29,13.29,13.29,13.29,13.29,36.6,36.6,36.6,36.6,36.6,10.71
Kerala,2.14,27.85,27.85,27.85,27.85,27.85,26.42,26.42,26.42,26.42,26.42,5,5,5,5,5,25.71,25.71,25.71
Ladakh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madhya Pradesh,16.56,16.56,16.56,58.69,58.69,58.69,58.69,58.69,31.3,31.3,31.3,31.3,31.3,46.52,46.52,46.52,46.52,46.52,2.17
Maharashtra,2.08,2.08,2.08,2.08,0.69,0.69,0.69,0.69,0.69,6.94,6.94,6.94,6.94,6.94,20.48,20.48,20.48,20.48,20.48
Manipur,20,20,11.67,11.67,11.67,11.67,11.67,41.67,41.67,41.67,41.67,41.67,58.33,58.33,58.33,58.33,58.33,11.67,11.67
Meghalaya,8.33,8.33,8.33,13.33,13.33,13.33,13.33,13.33,18.64,18.64,18.64,18.64,18.64,35,35,35,35,35,3.38
Mizoram,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,52.5
Nagaland,76.67,76.67,76.67,3.33,3.33,3.33,3.33,3.33,5,5,5,5,5,50,50,50,50,50,16.67
Odisha,20.4,20.4,20.4,20.4,15.64,15.64,15.64,15.64,15.64,51.7,51.7,51.7,51.7,51.7,68.7,68.7,68.7,68.7,68.7
Pondicherry,6.67,13.33,13.33,13.33,13.33,13.33,10,10,10,10,10,26.67,26.67,26.67,26.67,26.67,23.33,23.33,23.33
Punjab,48.71,48.71,17.94,17.94,17.94,17.94,17.94,3.44,3.44,3.44,3.44,3.44,8.54,8.54,8.54,8.54,8.54,48.71,48.71
Rajasthan,60,60,60,32,32,32,32,32,9,9,9,9,9,71,71,71,71,71,13.06
Sikkim,53.125,53.125,53.125,53.125,93.75,93.75,93.75,93.75,93.75,100,100,100,100,100,37.5,37.5,37.5,37.5,37.5
Tamil Nadu,57.26,43.16,43.16,43.16,43.16,43.16,14.95,14.95,14.95,14.95,14.95,51.7,51.7,51.7,51.7,51.7,19.39,19.39,19.39
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.29,35.29,35.29,35.29,57.98
Tripura,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,60,60,60,60,60,65,65,65,65,65,32.2
Uttar Pradesh,15.09,15.09,11.16,11.16,11.16,11.16,11.16,27.04,27.04,27.04,27.04,27.04,35.73,35.73,35.73,35.73,35.73,65.75,65.75
Uttarakhand,NA,NA,24.28,24.28,24.28,24.28,24.28,18.84,18.84,18.84,18.84,18.84,1.42,1.42,1.42,1.42,1.42,65.71,65.71
West Bengal,25.51,28.23,28.23,28.23,28.23,28.23,49.65,49.65,49.65,49.65,49.65,48.29,48.29,48.29,48.29,48.29,56.8,56.8,56.8
