"State_Year","State","SourceYear","Hydrogencarbonate","Alkalinity_Total","SDP","Gini_Coefficient","win_margin","literacy_rate","gii_rate","ENPP","gini_state"
"Andaman And Nicobar Islands_2000","Andaman And Nicobar Islands",2000,NA,NA,838,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2001","Andaman And Nicobar Islands",2001,NA,NA,857,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2002","Andaman And Nicobar Islands",2002,NA,NA,948,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2003","Andaman And Nicobar Islands",2003,NA,NA,1048,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2004","Andaman And Nicobar Islands",2004,232.433257918552,NA,1633,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2005","Andaman And Nicobar Islands",2005,202.589285714285,NA,1720,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2006","Andaman And Nicobar Islands",2006,NA,NA,2029,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2007","Andaman And Nicobar Islands",2007,250.872596153846,NA,2238,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2008","Andaman And Nicobar Islands",2008,NA,NA,2579,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2009","Andaman And Nicobar Islands",2009,149.511764705882,NA,2911,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2010","Andaman And Nicobar Islands",2010,260.428571428571,NA,3164,0.315,NA,81.3,0.752,NA,NA
"Andaman And Nicobar Islands_2011","Andaman And Nicobar Islands",2011,274.393939393939,NA,3404,0.315,NA,86.63,0.752,NA,NA
"Andaman And Nicobar Islands_2012","Andaman And Nicobar Islands",2012,209.4,NA,3558,0.315,NA,86.63,0.704,NA,NA
"Andaman And Nicobar Islands_2013","Andaman And Nicobar Islands",2013,206.305084745763,NA,3811,0.315,NA,86.63,0.704,NA,NA
"Andaman And Nicobar Islands_2014","Andaman And Nicobar Islands",2014,NA,NA,4151,0.315,NA,86.63,0.704,NA,NA
"Andaman And Nicobar Islands_2015","Andaman And Nicobar Islands",2015,NA,NA,4483,0.315,NA,86.63,0.704,NA,NA
"Andaman And Nicobar Islands_2016","Andaman And Nicobar Islands",2016,206.534867302956,NA,5091,0.315,NA,86.63,0.704,NA,NA
"Andaman And Nicobar Islands_2017","Andaman And Nicobar Islands",2017,NA,NA,5750,0.315,NA,86.63,0.704,NA,NA
"Andaman And Nicobar Islands_2018","Andaman And Nicobar Islands",2018,195.648390374331,162.138770053476,6108,0.315,NA,86.63,0.704,NA,NA
