States,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Andaman And Nicobar Islands,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.704,0.704,0.704,0.704,0.704,0.704,0.704
Andhra Pradesh,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.361,0.361,0.361,0.361,0.361,0.361,0.361
Arunachal Pradesh,0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.789,0.789,0.789,0.789,0.789,0.789,0.789
Assam,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.598,0.598,0.598,0.598,0.598,0.598,0.598
Bihar,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.682,0.682,0.682,0.682,0.682,0.682,0.682
Chandigarh,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.413,0.413,0.413,0.413,0.413,0.413,0.413
Chhattisgarh,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.44,0.44,0.44,0.44,0.44,0.44,0.44
Dadra and Nagar Haveli,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.719,0.719,0.719,0.719,0.719,0.719,0.719
The Dadra And Nagar Haveli And Daman And Diu,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.73,0.73,0.73,0.73,0.73,0.73,0.73
Delhi,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.444,0.444,0.444,0.444,0.444,0.444,0.444
Goa,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.646,0.646,0.646,0.646,0.646,0.646,0.646
Gujarat,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.425,0.425,0.425,0.425,0.425,0.425,0.425
Haryana,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.462,0.462,0.462,0.462,0.462,0.462,0.462
Himachal Pradesh,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.373,0.373,0.373,0.373,0.373,0.373,0.373
Jammu And Kashmir,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.374,0.374,0.374,0.374,0.374,0.374,0.374
Jharkhand,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.741,0.741,0.741,0.741,0.741,0.741,0.741
Karnataka,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.464,0.464,0.464,0.464,0.464,0.464,0.464
Kerala,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.418,0.418,0.418,0.418,0.418,0.418,0.418
Lakshadweep,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.734,0.734,0.734,0.734,0.734,0.734,0.734
Madhya Pradesh,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.488,0.488,0.488,0.488,0.488,0.488,0.488
Maharashtra,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.34,0.34,0.34,0.34,0.34,0.34,0.34
Manipur,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.758,0.758,0.758,0.758,0.758,0.758,0.758
Meghalaya,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.403,0.403,0.403,0.403,0.403,0.403,0.403
Mizoram,0.761,0.761,0.761,0.761,0.761,0.761,0.761,0.761,0.761,0.761,0.761,0.761,0.742,0.742,0.742,0.742,0.742,0.742,0.742
Nagaland,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765
Odisha,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.483,0.483,0.483,0.483,0.483,0.483,0.483
Pondicherry,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.688,0.688,0.688,0.688,0.688,0.688,0.688
Punjab,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.464,0.464,0.464,0.464,0.464,0.464,0.464
Rajasthan,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.589,0.589,0.589,0.589,0.589,0.589,0.589
