States,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Andaman And Nicobar Islands,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,86.63,86.63,86.63,86.63,86.63,86.63,86.63,86.63
Andhra Pradesh,60.47,60.47,60.47,60.47,60.47,60.47,60.47,60.47,60.47,60.47,60.47,67.02,67.02,67.02,67.02,67.02,67.02,67.02,67.02
Arunachal Pradesh,54.34,54.34,54.34,54.34,54.34,54.34,54.34,54.34,54.34,54.34,54.34,65.39,65.39,65.39,65.39,65.39,65.39,65.39,65.39
Assam,63.25,63.25,63.25,63.25,63.25,63.25,63.25,63.25,63.25,63.25,63.25,72.19,72.19,72.19,72.19,72.19,72.19,72.19,72.19
Bihar,47,47,47,47,47,47,47,47,47,47,47,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8
Chandigarh,81.94,81.94,81.94,81.94,81.94,81.94,81.94,81.94,81.94,81.94,81.94,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05
Chhattisgarh,64.66,64.66,64.66,64.66,64.66,64.66,64.66,64.66,64.66,64.66,64.66,70.28,70.28,70.28,70.28,70.28,70.28,70.28,70.28
Dadra and Nagar Haveli,57.63,57.63,57.63,57.63,57.63,57.63,57.63,57.63,57.63,57.63,57.63,76.24,76.24,76.24,76.24,76.24,76.24,76.24,76.24
The Dadra And Nagar Haveli And Daman And Diu,78.18,78.18,78.18,78.18,78.18,78.18,78.18,78.18,78.18,78.18,78.18,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1
Delhi,81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67,81.67,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21
Goa,82.01,82.01,82.01,82.01,82.01,82.01,82.01,82.01,82.01,82.01,82.01,88.7,88.7,88.7,88.7,88.7,88.7,88.7,88.7
Gujarat,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,78.03,78.03,78.03,78.03,78.03,78.03,78.03,78.03
Haryana,67.91,67.91,67.91,67.91,67.91,67.91,67.91,67.91,67.91,67.91,67.91,75.55,75.55,75.55,75.55,75.55,75.55,75.55,75.55
Himachal Pradesh,76.48,76.48,76.48,76.48,76.48,76.48,76.48,76.48,76.48,76.48,76.48,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8
